,id,pid,lot_area,year_built,year_remod/add,roof_style,roof_matl,has_mas_vnr,exter_qual,exter_cond,has_bsmt,heating_qc,electrical,1st_flr_sf,low_qual_fin_sf,kitchen_qual,totrms_abvgrd,has_fireplace,has_garage,has_pool,has_fence,misc_val,mo_sold,yr_sold,deck_porch,overall_cond_qual,n__Blmngtn,n__Blueste,n__BrDale,n__BrkSide,n__ClearCr,n__CollgCr,n__Crawfor,n__Edwards,n__Gilbert,n__Greens,n__IDOTRR,n__MeadowV,n__Mitchel,n__NAmes,n__NPkVill,n__NWAmes,n__NoRidge,n__NridgHt,n__OldTown,n__SWISU,n__Sawyer,n__SawyerW,n__Somerst,n__StoneBr,n__Timber,n__Veenker,ls__IR1,ls__IR2,ls__Reg,mssub__20,mssub__30,mssub__40,mssub__45,mssub__50,mssub__60,mssub__70,mssub__75,mssub__80,mssub__85,mssub__90,mssub__120,mssub__160,mssub__180,mssub__190,mszon__C (all),mszon__FV,mszon__I (all),mszon__RH,mszon__RL,mszon__RM,landcon__Bnk,landcon__HLS,landcon__Low,landcon__Lvl,lotfig__Corner,lotfig__CulDSac,lotfig__FR2,lotfig__FR3,lotfig__Inside,ut__AllPub,ut__NoSewr,landm__Gtl,landm__Mod,landm__Sev,cond1__Artery,cond1__Feedr,cond1__Norm,cond1__Pos,cond1__RRe,cond1__RRn,cond2__Feedr,cond2__Norm,cond2__Pos,btype__1Fam,btype__2fmCon,btype__Duplex,btype__Twnhs,btype__TwnhsE,ext1__AsbShng,ext1__AsphShn,ext1__BrkComm,ext1__BrkFace,ext1__CemntBd,ext1__HdBoard,ext1__MetalSd,ext1__Plywood,ext1__PreCast,ext1__Stucco,ext1__VinylSd,ext1__Wd Sdng,ext1__WdShing,ext2__AsbShng,ext2__AsphShn,ext2__Brk Cmn,ext2__BrkFace,ext2__CBlock,ext2__CmentBd,ext2__HdBoard,ext2__ImStucc,ext2__MetalSd,ext2__Other,ext2__Plywood,ext2__PreCast,ext2__Stucco,ext2__VinylSd,ext2__Wd Sdng,ext2__Wd Shng,found__BrkTil,found__CBlock,found__PConc,found__Slab,found__Stone,found__Wood,heat__Floor,heat__GasA,heat__GasW,heat__Grav,ac__N,ac__Y,fb__0,fb__1,fb__2,fb__3,fb__4,hb__0,hb__1,hb__2,kita__0,kita__1,kita__2,kita__3,funct__Maj1,funct__Maj2,funct__Min1,funct__Min2,funct__Mod,funct__Typ,paved__N,paved__P,paved__Y,stype__COD,stype__CWD,stype__Con,stype__ConLD,stype__ConLI,stype__ConLw,stype__New,stype__Oth,stype__VWD,stype__WD ,st__Grvl,st__Pave,hstyle__1.5Fin,hstyle__1.5Unf,hstyle__1Story,hstyle__2.5Fin,hstyle__2.5Unf,hstyle__2Story,hstyle__SFoyer,hstyle__SLvl
0,2658,902301120,9142,1910-01-01,1950-01-01,Gable,CompShg,0,3,2,1,4,2.0,908,0,2,9,0,1,0,0,0,1900-04-01,2006-01-01,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,2718,905108090,9662,1977-01-01,1977-01-01,Gable,CompShg,0,3,3,1,3,5.0,1967,0,3,10,0,1,0,0,0,1900-08-01,2006-01-01,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2,2414,528218130,17104,2006-01-01,2006-01-01,Gable,CompShg,0,4,3,1,5,5.0,664,0,4,7,1,1,0,0,0,1900-09-01,2006-01-01,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
3,1989,902207150,8520,1923-01-01,2006-01-01,Gable,CompShg,0,4,3,1,3,5.0,968,0,3,5,0,1,0,0,0,1900-07-01,2007-01-01,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
4,625,535105100,9500,1963-01-01,1963-01-01,Gable,CompShg,1,3,3,1,4,5.0,1394,0,3,6,1,1,0,0,0,1900-07-01,2009-01-01,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
5,333,923228370,1890,1972-01-01,1972-01-01,Gable,CompShg,0,3,3,1,3,5.0,546,0,3,5,0,1,0,0,0,1900-06-01,2010-01-01,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
6,1327,902427150,8516,1958-01-01,2006-01-01,Gable,CompShg,0,3,3,1,3,5.0,1093,0,3,5,0,1,0,0,0,1900-05-01,2008-01-01,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
7,858,907202130,9286,1977-01-01,1989-01-01,Gable,CompShg,0,3,3,1,3,5.0,1268,0,4,5,0,1,0,0,0,1900-10-01,2009-01-01,1,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
8,95,533208090,3515,2004-01-01,2004-01-01,Gable,CompShg,0,4,3,1,5,5.0,840,0,4,3,0,1,0,0,0,1900-01-01,2010-01-01,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
9,1568,914476010,10125,1977-01-01,1977-01-01,Gable,CompShg,0,3,3,1,3,5.0,1279,0,3,6,1,1,0,1,0,1900-02-01,2008-01-01,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
